ny,nu,poly_order,n_candidates,R2_OSA_train,R2_OSA_test,R2_FR_train
2,2,3,35,0.996993,0.996435,0.881486
1,3,3,35,0.996718,0.996068,0.866126
2,1,3,20,0.996861,0.996520,0.847077
2,3,3,56,0.996928,0.996155,0.842933
2,4,3,84,0.996940,0.996233,0.837777
4,2,3,84,0.996879,0.996144,0.831100
3,2,3,56,0.996872,0.996529,0.827158
5,2,3,120,0.996871,0.996136,0.825126
3,4,3,120,0.996899,0.996557,0.823865
2,5,3,120,0.996912,0.996345,0.820633
3,3,3,84,0.996910,0.996543,0.820196
1,2,3,20,0.996633,0.995902,0.814992
3,5,2,45,0.995820,0.996268,0.803835
4,5,2,55,0.995820,0.996268,0.803835
3,5,3,165,0.996901,0.996473,0.802682
2,5,2,36,0.995863,0.996208,0.799989
3,1,3,35,0.996874,0.996573,0.799173
5,4,2,55,0.995807,0.996277,0.793039
3,4,2,36,0.995823,0.996279,0.791431
4,4,2,45,0.995823,0.996279,0.791431
2,4,2,28,0.995861,0.996203,0.786180
4,3,2,36,0.995821,0.996190,0.765791
4,5,3,220,0.996930,0.996476,0.761725
5,5,3,286,0.996930,0.996476,0.761725
5,2,2,36,0.995746,0.996183,0.758233
5,3,2,45,0.995827,0.996198,0.753120
3,5,1,9,0.995666,0.996002,0.742540
2,1,1,4,0.995296,0.996100,0.740751
5,5,2,66,0.995820,0.996157,0.735717
5,3,1,9,0.995632,0.996015,0.733846
4,1,3,56,0.996877,0.996531,0.732180
4,5,1,10,0.995667,0.995999,0.728978
4,3,1,8,0.995648,0.996021,0.728820
1,5,2,28,0.995124,0.996020,0.723124
1,4,2,21,0.995118,0.996006,0.721012
5,1,3,84,0.996866,0.996528,0.720580
5,1,1,7,0.995358,0.996084,0.720505
3,4,1,8,0.995662,0.996006,0.716044
3,2,2,21,0.995742,0.996138,0.713766
2,5,1,8,0.995605,0.996004,0.711684
4,4,1,9,0.995663,0.996005,0.711547
5,4,1,10,0.995648,0.996003,0.697979
3,1,1,5,0.995361,0.996076,0.687612
2,4,1,7,0.995608,0.996003,0.686146
4,1,1,6,0.995350,0.996086,0.685046
5,2,1,8,0.995567,0.995999,0.678252
2,2,1,5,0.995541,0.996007,0.671849
5,5,1,11,0.995722,0.996012,0.669854
3,2,1,6,0.995542,0.996003,0.665494
3,3,1,7,0.995634,0.996023,0.659523
1,5,3,84,0.996726,0.995080,0.635326
2,3,1,6,0.995578,0.996014,0.613499
4,2,1,7,0.995545,0.996014,0.606168
2,1,2,10,0.995659,0.996147,0.591055
1,5,1,7,0.994707,0.995836,0.561579
1,4,1,6,0.994717,0.995833,0.531664
1,2,1,4,0.994674,0.995827,0.517118
1,3,1,5,0.994707,0.995820,0.473747
4,2,2,28,0.995754,0.996110,0.401645
1,1,3,10,0.995818,0.995430,-339.833756
1,1,1,3,0.993938,0.994876,-1594926.102493
1,1,2,6,0.994342,0.995202,nan
1,2,2,10,0.995212,0.995825,nan
1,3,2,15,0.995150,0.995946,nan
1,4,3,56,0.996743,0.995236,nan
2,2,2,15,0.995815,0.996148,nan
2,3,2,21,0.995842,0.996153,nan
3,1,2,15,0.995704,0.996057,nan
3,3,2,28,0.995868,0.996118,nan
4,1,2,21,0.995708,0.996053,nan
4,3,3,120,0.996940,0.996587,nan
4,4,3,165,0.996940,0.996587,nan
5,1,2,28,0.995692,0.996071,nan
5,3,3,165,0.996929,0.996585,nan
5,4,3,220,0.996929,0.996585,nan
